Date,Settle
2014-02-18,77.45
2014-02-19,86.53
2014-02-20,81.1
2014-02-21,85.83
2014-02-24,75.0
2014-02-25,70.59
2014-02-26,67.68
2014-02-27,66.28
2014-02-28,65.46
2014-03-03,64.99
2014-03-04,64.99
2014-03-05,64.99
2014-03-06,64.99
2014-03-07,58.35
2014-03-11,60.14
2014-03-12,56.59
2014-03-13,53.58
2014-03-14,52.39
2014-03-17,55.51
2014-03-18,55.36
2014-03-19,54.23
2014-03-20,53.54
2014-03-21,53.49
2014-03-24,52.66
2014-03-25,52.06
2014-03-26,51.82
2014-03-27,51.46
2014-03-28,51.29
2014-03-31,51.14
2014-04-01,51.09
2014-04-02,51.09
2014-04-03,51.09
2014-04-04,51.09
2014-04-07,44.44
2014-04-08,44.63
2014-04-09,43.79
2014-04-10,43.38
2014-04-11,43.48
2014-04-14,43.84
2014-04-15,43.59
2014-04-16,42.51
2014-04-17,42.45
2014-04-21,42.15
2014-04-22,41.97
2014-04-23,42.0
2014-04-24,42.31
2014-04-25,43.52
2014-04-28,43.58
2014-04-29,43.92
2014-04-30,44.31
2014-05-01,44.51
2014-05-02,44.51
2014-05-05,44.51
2014-05-06,48.74
2014-05-07,48.33
2014-05-08,47.81
2014-05-09,46.31
2014-05-12,46.21
2014-05-13,44.88
2014-05-14,45.36
2014-05-15,45.42
2014-05-16,45.74
2014-05-19,46.81
2014-05-20,47.36
2014-05-21,47.65
2014-05-22,46.85
2014-05-23,46.62
2014-05-27,46.67
2014-05-28,47.21
2014-05-29,46.73
2014-05-30,46.4
2014-06-02,46.72
2014-06-03,46.72
2014-06-04,46.72
2014-06-05,46.72
2014-06-06,46.44
2014-06-09,46.17
2014-06-10,47.04
2014-06-11,46.18
2014-06-12,44.59
2014-06-13,45.1
2014-06-16,45.72
2014-06-17,46.28
2014-06-18,46.49
2014-06-19,44.49
2014-06-20,47.53
2014-06-23,46.06
2014-06-24,44.38
2014-06-25,44.22
2014-06-26,44.87
2014-06-27,46.43
2014-06-30,47.64
2014-07-01,46.72
2014-07-02,46.72
2014-07-03,46.72
2014-07-07,46.72
2014-07-08,42.85
2014-07-09,41.53
2014-07-10,40.66
2014-07-11,41.18
2014-07-14,41.05
2014-07-15,39.83
2014-07-16,39.6
2014-07-17,39.24
2014-07-18,39.26
2014-07-21,39.18
2014-07-22,36.91
2014-07-23,36.61
2014-07-24,36.27
2014-07-25,36.6
2014-07-28,36.6
2014-07-29,36.23
2014-07-30,36.11
2014-07-31,36.15
2014-08-01,36.49
2014-08-04,36.49
2014-08-05,36.49
2014-08-06,36.49
2014-08-07,38.37
2014-08-08,38.58
2014-08-11,39.55
2014-08-12,38.92
2014-08-13,36.25
2014-08-14,36.38
2014-08-15,36.4
2014-08-18,36.48
2014-08-19,37.48
2014-08-20,37.2
2014-08-21,36.94
2014-08-22,36.63
2014-08-25,36.49
2014-08-26,36.02
2014-08-27,36.04
2014-08-28,36.15
2014-08-29,36.2
2014-09-02,36.13
2014-09-03,36.13
2014-09-04,36.13
2014-09-05,36.13
2014-09-08,38.8
2014-09-09,38.81
2014-09-10,38.32
2014-09-11,39.02
2014-09-12,38.88
2014-09-15,38.86
2014-09-16,39.25
2014-09-17,38.76
2014-09-18,38.68
2014-09-19,38.55
2014-09-22,38.5
2014-09-23,38.39
2014-09-24,38.35
2014-09-25,38.76
2014-09-26,38.97
2014-09-29,38.78
2014-09-30,39.17
2014-10-01,38.98
2014-10-02,38.98
2014-10-03,38.98
2014-10-06,38.98
2014-10-07,39.21
2014-10-08,38.83
2014-10-09,38.59
2014-10-10,39.04
2014-10-13,38.86
2014-10-14,38.4
2014-10-15,38.34
2014-10-16,39.03
2014-10-17,38.43
2014-10-20,37.94
2014-10-21,38.03
2014-10-22,37.78
2014-10-23,37.97
2014-10-24,37.71
2014-10-27,37.5
2014-10-28,37.15
2014-10-29,37.15
2014-10-30,37.01
2014-10-31,36.83
2014-11-03,36.74
2014-11-04,36.74
2014-11-05,36.74
2014-11-06,36.74
2014-11-07,50.16
2014-11-10,48.7
2014-11-11,46.57
2014-11-12,45.71
2014-11-13,43.52
2014-11-14,42.31
2014-11-17,41.52
2014-11-18,40.75
2014-11-19,40.18
2014-11-20,39.88
2014-11-21,40.07
2014-11-24,40.65
2014-11-25,40.48
2014-11-26,40.17
2014-11-28,40.17
2014-12-01,41.25
2014-12-02,41.25
2014-12-03,41.25
2014-12-04,41.25
2014-12-05,38.72
2014-12-08,38.67
2014-12-09,37.92
2014-12-10,37.88
2014-12-11,38.16
2014-12-12,38.69
2014-12-15,38.28
2014-12-16,37.29
2014-12-17,37.49
2014-12-18,37.41
2014-12-19,37.16
2014-12-22,35.14
2014-12-23,36.16
2014-12-24,36.12
2014-12-26,36.12
2015-01-02,41.88
2015-01-07,36.99
2015-01-08,37.81
2015-01-09,38.89
2015-01-12,36.81
2015-01-13,37.22
2015-01-14,38.64
2015-01-15,39.15
2015-01-16,38.63
2015-01-20,36.03
2015-01-21,35.53
2015-01-22,34.73
2015-01-23,34.48
2015-01-26,34.21
2015-01-27,34.35
2015-01-29,33.78
2015-01-30,33.81
2015-02-02,33.88
2015-02-03,33.88
2015-02-04,33.88
2015-02-05,33.88
2015-02-06,30.64
2015-02-09,31.46
2015-02-10,34.2
2015-02-11,35.77
2015-02-12,34.31
2015-02-13,36.47
2015-02-17,40.64
2015-02-18,47.68
2015-02-19,48.3
2015-02-20,51.98
2015-02-23,52.4
2015-02-24,49.16
2015-02-25,48.63
2015-02-26,47.22
2015-02-27,46.07
2015-03-02,44.86
2015-03-03,44.86
2015-03-04,44.86
2015-03-05,44.86
2015-03-06,38.34
2015-03-10,35.73
2015-03-11,35.83
2015-03-12,35.63
2015-03-13,35.66
2015-03-16,34.75
2015-03-17,34.9
2015-03-18,33.71
2015-03-19,34.05
2015-03-20,33.98
2015-03-23,33.61
2015-03-24,33.42
2015-03-25,33.26
2015-03-26,33.23
2015-03-27,32.92
2015-03-30,32.77
2015-04-01,32.63
2015-04-02,32.63
2015-04-06,32.63
2015-04-07,32.63
2015-04-08,31.4
2015-04-09,31.1
2015-04-10,30.92
2015-04-13,30.53
2015-04-14,30.42
2015-04-15,30.29
2015-04-16,30.26
2015-04-17,30.36
2015-04-20,30.58
2015-04-21,30.57
2015-04-22,30.53
2015-04-23,30.44
2015-04-24,30.27
2015-04-27,30.31
2015-04-28,30.38
2015-04-29,30.36
2015-04-30,30.13
2015-05-01,29.93
2015-05-04,29.93
2015-05-05,29.93
2015-05-06,29.93
2015-05-07,35.39
2015-05-08,36.58
2015-05-11,35.33
2015-05-12,35.24
2015-05-13,35.13
2015-05-14,34.37
2015-05-15,35.26
2015-05-18,35.07
2015-05-19,35.81
2015-05-20,36.0
2015-05-21,36.17
2015-05-22,36.58
2015-05-26,35.87
2015-05-27,35.39
2015-05-28,34.68
2015-05-29,34.24
2015-06-01,34.17
2015-06-02,34.17
2015-06-03,34.17
2015-06-04,34.17
2015-06-05,35.38
2015-06-08,35.38
2015-06-09,35.38
2015-06-10,35.38
2015-06-11,35.38
2015-06-12,35.38
2015-06-15,35.38
2015-06-16,35.38
2015-06-17,35.38
2015-06-18,35.38
2015-06-19,35.38
2015-06-22,35.38
2015-06-23,35.38
2015-06-24,35.38
2015-06-25,35.58
2015-06-26,35.48
2015-07-01,35.48
2015-07-02,35.48
