date,t,cp_location,cp_location_norm,cp_score
1990-01-02,21,NA,NA,NA
1990-01-03,22,NA,NA,NA
1990-01-04,23,NA,NA,NA
1990-01-05,24,NA,NA,NA
1990-01-08,25,NA,NA,NA
1990-01-09,26,NA,NA,NA
1990-01-10,27,NA,NA,NA
1990-01-11,28,NA,NA,NA
1990-01-12,29,NA,NA,NA
1990-01-15,30,NA,NA,NA
1990-01-16,31,NA,NA,NA
1990-01-17,32,NA,NA,NA
1990-01-18,33,NA,NA,NA
1990-01-19,34,NA,NA,NA
1990-01-22,35,NA,NA,NA
1990-01-23,36,NA,NA,NA
1990-01-24,37,NA,NA,NA
1990-01-25,38,NA,NA,NA
1990-01-26,39,NA,NA,NA
1990-01-29,40,NA,NA,NA
1990-01-30,41,NA,NA,NA
1990-01-31,42,NA,NA,NA
1990-02-01,43,NA,NA,NA
1990-02-02,44,NA,NA,NA
1990-02-05,45,NA,NA,NA
1990-02-06,46,NA,NA,NA
1990-02-07,47,NA,NA,NA
1990-02-08,48,NA,NA,NA
1990-02-09,49,NA,NA,NA
1990-02-12,50,NA,NA,NA
1990-02-13,51,NA,NA,NA
1990-02-14,52,NA,NA,NA
1990-02-15,53,NA,NA,NA
1990-02-16,54,NA,NA,NA
1990-02-20,55,NA,NA,NA
1990-02-21,56,NA,NA,NA
1990-02-22,57,NA,NA,NA
1990-02-23,58,NA,NA,NA
1990-02-26,59,NA,NA,NA
1990-02-27,60,NA,NA,NA
1990-02-28,61,NA,NA,NA
1990-03-01,62,NA,NA,NA
1990-03-02,63,NA,NA,NA
1990-03-05,64,NA,NA,NA
1990-03-06,65,NA,NA,NA
1990-03-07,66,NA,NA,NA
1990-03-08,67,NA,NA,NA
1990-03-09,68,NA,NA,NA
1990-03-12,69,NA,NA,NA
1990-03-13,70,NA,NA,NA
1990-03-14,71,NA,NA,NA
1990-03-15,72,NA,NA,NA
1990-03-16,73,NA,NA,NA
1990-03-19,74,NA,NA,NA
1990-03-20,75,NA,NA,NA
1990-03-21,76,NA,NA,NA
1990-03-22,77,NA,NA,NA
1990-03-23,78,NA,NA,NA
1990-03-26,79,NA,NA,NA
1990-03-27,80,NA,NA,NA
1990-03-28,81,NA,NA,NA
1990-03-29,82,NA,NA,NA
1990-03-30,83,NA,NA,NA
1990-04-02,84,NA,NA,NA
1990-04-03,85,NA,NA,NA
1990-04-04,86,NA,NA,NA
1990-04-05,87,NA,NA,NA
1990-04-06,88,NA,NA,NA
1990-04-09,89,NA,NA,NA
1990-04-10,90,NA,NA,NA
1990-04-11,91,NA,NA,NA
1990-04-12,92,NA,NA,NA
1990-04-16,93,NA,NA,NA
1990-04-17,94,NA,NA,NA
1990-04-18,95,NA,NA,NA
1990-04-19,96,NA,NA,NA
1990-04-20,97,NA,NA,NA
1990-04-23,98,NA,NA,NA
1990-04-24,99,NA,NA,NA
1990-04-25,100,NA,NA,NA
1990-04-26,101,NA,NA,NA
1990-04-27,102,NA,NA,NA
1990-04-30,103,NA,NA,NA
1990-05-01,104,NA,NA,NA
1990-05-02,105,NA,NA,NA
1990-05-03,106,NA,NA,NA
1990-05-04,107,NA,NA,NA
1990-05-07,108,NA,NA,NA
1990-05-08,109,NA,NA,NA
1990-05-09,110,NA,NA,NA
1990-05-10,111,NA,NA,NA
1990-05-11,112,NA,NA,NA
1990-05-14,113,NA,NA,NA
1990-05-15,114,NA,NA,NA
1990-05-16,115,NA,NA,NA
1990-05-17,116,NA,NA,NA
1990-05-18,117,NA,NA,NA
1990-05-21,118,NA,NA,NA
1990-05-22,119,NA,NA,NA
1990-05-23,120,NA,NA,NA
1990-05-24,121,NA,NA,NA
1990-05-25,122,NA,NA,NA
1990-05-29,123,NA,NA,NA
1990-05-30,124,NA,NA,NA
1990-05-31,125,NA,NA,NA
1990-06-01,126,NA,NA,NA
1990-06-04,127,NA,NA,NA
1990-06-05,128,NA,NA,NA
1990-06-06,129,NA,NA,NA
1990-06-07,130,NA,NA,NA
1990-06-08,131,NA,NA,NA
1990-06-11,132,NA,NA,NA
1990-06-12,133,NA,NA,NA
1990-06-13,134,NA,NA,NA
1990-06-14,135,NA,NA,NA
1990-06-15,136,NA,NA,NA
1990-06-18,137,NA,NA,NA
1990-06-19,138,NA,NA,NA
1990-06-20,139,NA,NA,NA
1990-06-21,140,NA,NA,NA
1990-06-22,141,NA,NA,NA
1990-06-25,142,NA,NA,NA
1990-06-26,143,NA,NA,NA
1990-06-27,144,NA,NA,NA
1990-06-28,145,NA,NA,NA
1990-06-29,146,NA,NA,NA
1990-07-02,147,NA,NA,NA
1990-07-03,148,NA,NA,NA
1990-07-05,149,NA,NA,NA
1990-07-06,150,NA,NA,NA
1990-07-09,151,NA,NA,NA
1990-07-10,152,NA,NA,NA
1990-07-11,153,NA,NA,NA
1990-07-12,154,NA,NA,NA
1990-07-13,155,NA,NA,NA
1990-07-16,156,NA,NA,NA
1990-07-17,157,NA,NA,NA
1990-07-18,158,NA,NA,NA
1990-07-19,159,NA,NA,NA
1990-07-20,160,NA,NA,NA
1990-07-23,161,NA,NA,NA
1990-07-24,162,NA,NA,NA
1990-07-25,163,NA,NA,NA
1990-07-26,164,NA,NA,NA
1990-07-27,165,NA,NA,NA
1990-07-30,166,NA,NA,NA
1990-07-31,167,NA,NA,NA
1990-08-01,168,NA,NA,NA
1990-08-02,169,NA,NA,NA
1990-08-03,170,NA,NA,NA
1990-08-06,171,NA,NA,NA
1990-08-07,172,NA,NA,NA
1990-08-08,173,NA,NA,NA
1990-08-09,174,NA,NA,NA
1990-08-10,175,NA,NA,NA
1990-08-13,176,NA,NA,NA
1990-08-14,177,NA,NA,NA
1990-08-15,178,NA,NA,NA
1990-08-16,179,NA,NA,NA
1990-08-17,180,NA,NA,NA
1990-08-20,181,NA,NA,NA
1990-08-21,182,NA,NA,NA
1990-08-22,183,NA,NA,NA
1990-08-23,184,NA,NA,NA
1990-08-24,185,NA,NA,NA
1990-08-27,186,NA,NA,NA
1990-08-28,187,NA,NA,NA
1990-08-29,188,NA,NA,NA
1990-08-30,189,NA,NA,NA
1990-08-31,190,NA,NA,NA
1990-09-04,191,NA,NA,NA
1990-09-05,192,NA,NA,NA
1990-09-06,193,NA,NA,NA
1990-09-07,194,NA,NA,NA
1990-09-10,195,NA,NA,NA
1990-09-11,196,NA,NA,NA
1990-09-12,197,NA,NA,NA
1990-09-13,198,NA,NA,NA
1990-09-14,199,NA,NA,NA
1990-09-17,200,NA,NA,NA
1990-09-18,201,NA,NA,NA
1990-09-19,202,NA,NA,NA
1990-09-20,203,NA,NA,NA
1990-09-21,204,NA,NA,NA
1990-09-24,205,NA,NA,NA
1990-09-25,206,NA,NA,NA
1990-09-26,207,NA,NA,NA
1990-09-27,208,NA,NA,NA
1990-09-28,209,NA,NA,NA
1990-10-01,210,NA,NA,NA
1990-10-02,211,NA,NA,NA
1990-10-03,212,NA,NA,NA
1990-10-04,213,NA,NA,NA
1990-10-05,214,NA,NA,NA
1990-10-08,215,NA,NA,NA
1990-10-09,216,NA,NA,NA
1990-10-10,217,NA,NA,NA
1990-10-11,218,NA,NA,NA
1990-10-12,219,NA,NA,NA
1990-10-15,220,NA,NA,NA
1990-10-16,221,NA,NA,NA
1990-10-17,222,NA,NA,NA
1990-10-18,223,NA,NA,NA
1990-10-19,224,NA,NA,NA
1990-10-22,225,NA,NA,NA
1990-10-23,226,NA,NA,NA
1990-10-24,227,NA,NA,NA
1990-10-25,228,NA,NA,NA
1990-10-26,229,NA,NA,NA
1990-10-29,230,NA,NA,NA
1990-10-30,231,NA,NA,NA
1990-10-31,232,NA,NA,NA
1990-11-01,233,NA,NA,NA
1990-11-02,234,NA,NA,NA
1990-11-05,235,NA,NA,NA
1990-11-06,236,NA,NA,NA
1990-11-07,237,NA,NA,NA
1990-11-08,238,NA,NA,NA
1990-11-09,239,NA,NA,NA
1990-11-12,240,NA,NA,NA
1990-11-13,241,NA,NA,NA
1990-11-14,242,NA,NA,NA
1990-11-15,243,NA,NA,NA
1990-11-16,244,NA,NA,NA
1990-11-19,245,NA,NA,NA
1990-11-20,246,NA,NA,NA
1990-11-21,247,NA,NA,NA
1990-11-23,248,NA,NA,NA
1990-11-26,249,NA,NA,NA
1990-11-27,250,NA,NA,NA
1990-11-28,251,NA,NA,NA
